stacja,temperatura,wilgotnosc_wzgledna,cisnienie,data_pobrania,suma_opadu
Suwałki,9.1,78.0,1002.3,2025-05-04,
Szczecin,9.6,74.8,1007.7,2025-05-04,
Szczecinek,10.2,74.4,1005.0,2025-05-04,
Śnieżka,-0.2,92.9,,2025-05-04,
Świnoujście,9.8,78.6,1006.8,2025-05-04,
Tarnów,14.5,66.4,1007.5,2025-05-04,
Terespol,17.5,50.3,1003.3,2025-05-04,
Toruń,13.0,52.4,1005.3,2025-05-04,
Ustka,8.8,85.9,1003.1,2025-05-04,
Warszawa,14.8,43.7,1005.5,2025-05-04,
Wieluń,13.6,51.5,1008.3,2025-05-04,
Włodawa,17.0,52.3,1004.0,2025-05-04,
Wrocław,13.6,52.6,1009.5,2025-05-04,
Zakopane,15.8,58.5,,2025-05-04,
Zamość,16.1,61.4,1005.3,2025-05-04,
Zielona Góra,12.0,57.6,1009.0,2025-05-04,
Białystok,9.7,41.7,1015.4,2025-05-05,
Bielsko Biała,10.5,60.7,1014.3,2025-05-05,
Chojnice,9.5,32.7,1018.6,2025-05-05,
Częstochowa,7.5,64.5,1016.6,2025-05-05,
Elbląg,7.1,46.6,1018.6,2025-05-05,
Gdańsk,8.4,42.6,1019.2,2025-05-05,
Gorzów,11.7,27.7,1018.3,2025-05-05,
Hel,9.7,43.6,1019.4,2025-05-05,
Jelenia Góra,9.9,52.8,1016.5,2025-05-05,
Kalisz,9.3,55.8,1017.3,2025-05-05,
Kasprowy Wierch,-0.6,100.0,,2025-05-05,
Katowice,10.8,55.7,1015.2,2025-05-05,
Kętrzyn,10.5,39.5,1016.6,2025-05-05,
Kielce,8.1,66.5,1015.8,2025-05-05,
Kłodzko,9.3,58.7,1016.1,2025-05-05,
Koło,8.2,52.7,1017.3,2025-05-05,
Kołobrzeg,9.5,46.5,1020.4,2025-05-05,
Koszalin,9.0,41.8,1019.9,2025-05-05,
Kozienice,8.1,80.0,1015.8,2025-05-05,
Kraków,10.5,60.7,1015.0,2025-05-05,
Krosno,10.9,61.6,1013.6,2025-05-05,
Legnica,11.8,45.4,1016.9,2025-05-05,
Lesko,10.8,59.4,1013.1,2025-05-05,
Leszno,10.1,53.6,1017.6,2025-05-05,
Lębork,9.7,32.7,1019.0,2025-05-05,
Lublin,10.3,69.9,1014.7,2025-05-05,
Łeba,9.4,44.5,1019.7,2025-05-05,
Łódź,7.8,61.8,1017.2,2025-05-05,
Mikołajki,10.0,36.8,1016.5,2025-05-05,
Mława,8.8,46.7,1017.0,2025-05-05,
Nowy Sącz,12.2,69.7,1013.7,2025-05-05,
Olsztyn,10.0,37.6,1017.2,2025-05-05,
Opole,10.7,48.6,1016.1,2025-05-05,
Ostrołęka,10.3,38.2,1016.2,2025-05-05,
Piła,10.6,32.7,1018.4,2025-05-05,
Platforma,,,,2025-05-05,
Płock,8.2,52.7,1017.1,2025-05-05,
Poznań,11.3,31.7,1017.6,2025-05-05,
Przemyśl,10.7,68.0,1013.5,2025-05-05,
Racibórz,11.0,56.6,1015.0,2025-05-05,
Resko,10.2,38.5,1019.5,2025-05-05,
Rzeszów,11.4,57.5,1014.0,2025-05-05,
Sandomierz,10.8,60.7,1014.6,2025-05-05,
Siedlce,9.0,65.8,1015.7,2025-05-05,
Słubice,12.1,36.5,1017.9,2025-05-05,
Sulejów,7.3,73.9,1016.8,2025-05-05,
Suwałki,9.0,35.6,1015.8,2025-05-05,
Szczecin,11.5,31.5,1019.2,2025-05-05,
Szczecinek,10.6,35.6,1018.7,2025-05-05,
Śnieżka,-3.2,97.0,,2025-05-05,
Świnoujście,10.0,46.7,1020.5,2025-05-05,
Tarnów,11.4,60.4,1014.0,2025-05-05,
Terespol,9.8,59.7,1014.7,2025-05-05,
Toruń,10.1,46.7,1017.9,2025-05-05,
Ustka,11.1,38.5,1020.1,2025-05-05,
Warszawa,9.3,58.7,1016.3,2025-05-05,
Wieluń,10.3,50.6,1016.5,2025-05-05,
Włodawa,8.3,77.8,1014.9,2025-05-05,
Wrocław,11.4,47.7,1016.6,2025-05-05,
Zakopane,7.6,76.6,,2025-05-05,
Zamość,10.6,62.4,1014.0,2025-05-05,
Zielona Góra,10.9,43.6,1017.4,2025-05-05,
Białystok,13.1,31.7,1015.1,2025-05-06,
Bielsko Biała,9.9,64.5,1015.1,2025-05-06,
Chojnice,13.5,29.5,1015.4,2025-05-06,
Częstochowa,11.1,50.5,1015.9,2025-05-06,
Elbląg,12.3,37.7,1014.8,2025-05-06,
Gdańsk,14.0,32.7,1015.0,2025-05-06,
Gorzów,14.6,27.7,1016.4,2025-05-06,
Hel,13.5,49.7,1015.4,2025-05-06,
Jelenia Góra,11.3,41.5,1016.8,2025-05-06,
Kalisz,12.7,49.4,1016.6,2025-05-06,
Kasprowy Wierch,2.6,100.0,,2025-05-06,
Katowice,11.8,48.5,1015.1,2025-05-06,
Kętrzyn,13.5,34.5,1015.1,2025-05-06,
Kielce,11.8,49.6,1015.4,2025-05-06,
Kłodzko,9.2,57.8,1016.9,2025-05-06,
Koło,12.9,27.4,1015.9,2025-05-06,
Kołobrzeg,10.3,82.0,1016.8,2025-05-06,
Koszalin,10.8,71.9,1016.5,2025-05-06,
Kozienice,12.8,38.6,1015.5,2025-05-06,
Kraków,12.4,56.5,1015.1,2025-05-06,
Krosno,9.0,79.6,1014.6,2025-05-06,
Legnica,12.5,40.6,1017.2,2025-05-06,
Lesko,8.1,87.7,1014.3,2025-05-06,
Leszno,12.9,36.5,1016.9,2025-05-06,
Lębork,11.9,52.5,1015.3,2025-05-06,
Lublin,11.9,44.5,1015.2,2025-05-06,
Łeba,9.8,75.9,1016.0,2025-05-06,
Łódź,12.1,38.5,1016.0,2025-05-06,
Mikołajki,12.4,33.7,1015.4,2025-05-06,
Mława,13.2,30.6,1015.5,2025-05-06,
Nowy Sącz,9.6,77.5,1015.0,2025-05-06,
Olsztyn,13.1,32.7,1015.3,2025-05-06,
Opole,13.0,47.4,1015.8,2025-05-06,
Ostrołęka,13.3,26.7,1015.4,2025-05-06,
Piła,14.1,31.5,1015.6,2025-05-06,
Platforma,,,,2025-05-06,
Płock,12.8,36.7,1015.7,2025-05-06,
Poznań,14.2,29.5,1016.3,2025-05-06,
Przemyśl,8.4,94.6,1014.4,2025-05-06,
Racibórz,11.7,58.4,1015.2,2025-05-06,
Resko,10.2,38.5,1019.5,2025-05-06,
Rzeszów,10.6,70.9,1014.8,2025-05-06,
Sandomierz,11.9,51.4,1015.1,2025-05-06,
Siedlce,11.2,39.7,1015.9,2025-05-06,
Słubice,14.5,27.6,1016.8,2025-05-06,
Sulejów,11.7,41.6,1015.8,2025-05-06,
Suwałki,12.6,34.5,1015.1,2025-05-06,
Szczecin,15.0,37.6,1016.2,2025-05-06,
Szczecinek,14.6,29.1,1015.4,2025-05-06,
Śnieżka,-3.3,90.7,,2025-05-06,
Świnoujście,11.7,70.6,1016.8,2025-05-06,
Tarnów,11.5,64.4,1014.6,2025-05-06,
Terespol,11.7,41.6,1015.7,2025-05-06,
Toruń,14.6,29.6,1015.7,2025-05-06,
Ustka,10.1,80.9,1016.3,2025-05-06,
Warszawa,13.1,31.7,1015.7,2025-05-06,
Wieluń,11.8,44.5,1016.1,2025-05-06,
Włodawa,12.3,46.6,1015.1,2025-05-06,
Wrocław,13.2,38.5,1016.7,2025-05-06,
Zakopane,6.6,83.9,,2025-05-06,
Zamość,10.3,72.9,1015.3,2025-05-06,
Zielona Góra,13.7,32.6,1016.5,2025-05-06,
Białystok,9.7,35.6,1018.7,2025-05-07,
Bielsko Biała,12.3,39.7,1016.4,2025-05-07,
Chojnice,10.4,42.5,1021.9,2025-05-07,
Częstochowa,12.3,42.7,1017.6,2025-05-07,
Elbląg,8.0,44.7,1022.1,2025-05-07,
Gdańsk,8.7,50.6,1022.5,2025-05-07,
Gorzów,13.6,29.5,1021.1,2025-05-07,
Hel,10.2,47.7,1022.9,2025-05-07,
Jelenia Góra,9.8,55.5,1019.3,2025-05-07,
Kalisz,12.8,41.6,1019.5,2025-05-07,
Kasprowy Wierch,-2.4,100.0,,2025-05-07,
Katowice,13.7,39.5,1016.5,2025-05-07,
Kętrzyn,9.5,48.6,1020.4,2025-05-07,
Kielce,12.1,42.6,1017.1,2025-05-07,
Kłodzko,10.7,60.7,1018.5,2025-05-07,
Koło,12.0,35.2,1019.9,2025-05-07,
Kołobrzeg,11.4,49.5,1023.1,2025-05-07,
Koszalin,11.1,35.7,1022.7,2025-05-07,
Kozienice,13.0,32.6,1018.1,2025-05-07,
Kraków,14.1,44.4,1016.5,2025-05-07,
Krosno,13.4,42.7,1015.2,2025-05-07,
Legnica,13.7,40.6,1019.4,2025-05-07,
Lesko,12.7,45.7,1015.0,2025-05-07,
Leszno,12.8,41.6,1020.0,2025-05-07,
Lębork,12.1,35.7,1022.1,2025-05-07,
Lublin,11.8,43.5,1017.3,2025-05-07,
Łeba,9.6,40.7,1023.0,2025-05-07,
Łódź,13.0,31.7,1018.9,2025-05-07,
Mikołajki,9.1,44.7,1020.2,2025-05-07,
Mława,9.6,40.7,1020.9,2025-05-07,
Nowy Sącz,14.5,38.5,1015.4,2025-05-07,
Olsztyn,9.1,48.5,1021.3,2025-05-07,
Opole,13.9,38.7,1017.7,2025-05-07,
Ostrołęka,10.1,40.9,1020.1,2025-05-07,
Piła,12.9,31.7,1021.3,2025-05-07,
Platforma,,,,2025-05-07,
Płock,11.0,41.7,1020.1,2025-05-07,
Poznań,12.5,32.5,1020.6,2025-05-07,
Przemyśl,13.6,43.3,1014.8,2025-05-07,
Racibórz,13.7,39.5,1016.6,2025-05-07,
Resko,12.9,33.6,1022.0,2025-05-07,
Rzeszów,14.2,35.5,1015.4,2025-05-07,
Sandomierz,12.9,46.4,1016.5,2025-05-07,
Siedlce,11.5,34.5,1018.5,2025-05-07,
Słubice,14.1,26.7,1020.7,2025-05-07,
Sulejów,12.4,36.6,1018.0,2025-05-07,
Suwałki,7.8,45.7,1019.3,2025-05-07,
Szczecin,14.7,30.5,1021.6,2025-05-07,
Szczecinek,11.0,39.9,1022.0,2025-05-07,
Śnieżka,-2.1,97.8,,2025-05-07,
Świnoujście,12.3,51.5,1022.9,2025-05-07,
Tarnów,14.4,38.5,1015.7,2025-05-07,
Terespol,12.8,31.6,1017.0,2025-05-07,
Toruń,11.3,34.7,1021.2,2025-05-07,
Ustka,11.7,44.4,1023.0,2025-05-07,
Warszawa,12.7,34.6,1018.9,2025-05-07,
Wieluń,13.6,33.5,1018.3,2025-05-07,
Włodawa,12.7,30.7,1016.6,2025-05-07,
Wrocław,13.1,43.5,1018.9,2025-05-07,
Zakopane,9.5,44.5,,2025-05-07,
Zamość,12.7,48.4,1015.9,2025-05-07,
Zielona Góra,12.3,29.6,1020.0,2025-05-07,
Białystok,7.2,38.5,1018.9,2025-05-08,
Bielsko Biała,10.3,39.7,1016.3,2025-05-08,
Chojnice,10.8,36.7,1020.5,2025-05-08,
Częstochowa,10.5,37.7,1017.3,2025-05-08,
Elbląg,6.9,59.9,1020.9,2025-05-08,
Gdańsk,8.1,52.7,1021.6,2025-05-08,
Gorzów,12.6,41.5,1019.9,2025-05-08,
Hel,9.0,48.5,1021.7,2025-05-08,
Jelenia Góra,9.8,42.6,1018.6,2025-05-08,
Kalisz,9.8,52.8,1019.0,2025-05-08,
Kasprowy Wierch,-3.7,99.2,,2025-05-08,
Katowice,11.7,36.7,1016.5,2025-05-08,
Kętrzyn,10.2,39.7,1019.3,2025-05-08,
Kielce,10.9,35.6,1016.7,2025-05-08,
Kłodzko,10.1,38.5,1017.7,2025-05-08,
Koło,10.2,37.4,1018.9,2025-05-08,
Kołobrzeg,11.1,51.6,1020.9,2025-05-08,
Koszalin,10.7,51.5,1020.6,2025-05-08,
Kozienice,9.4,34.7,1017.7,2025-05-08,
Kraków,11.2,36.5,1016.9,2025-05-08,
Krosno,10.4,35.5,1015.4,2025-05-08,
Legnica,11.4,40.6,1018.7,2025-05-08,
Lesko,8.7,46.6,1015.5,2025-05-08,
Leszno,11.5,49.5,1019.3,2025-05-08,
Lębork,10.9,40.5,1020.7,2025-05-08,
Lublin,8.9,45.7,1017.5,2025-05-08,
Łeba,8.7,48.8,1021.3,2025-05-08,
Łódź,9.5,37.7,1018.5,2025-05-08,
Mikołajki,8.4,40.7,1019.5,2025-05-08,
Mława,10.2,35.7,1019.1,2025-05-08,
Nowy Sącz,10.9,39.6,1015.9,2025-05-08,
Olsztyn,9.9,38.7,1019.6,2025-05-08,
Opole,12.3,29.6,1017.3,2025-05-08,
Ostrołęka,9.4,34.4,1019.0,2025-05-08,
Piła,11.4,33.7,1020.2,2025-05-08,
Platforma,,,,2025-05-08,
Płock,10.0,42.7,1019.0,2025-05-08,
Poznań,11.8,31.6,1019.6,2025-05-08,
Przemyśl,10.9,43.6,1015.3,2025-05-08,
Racibórz,11.7,33.5,1016.6,2025-05-08,
Resko,12.9,39.5,1020.2,2025-05-08,
Rzeszów,11.3,34.7,1015.9,2025-05-08,
Sandomierz,10.9,39.6,1016.8,2025-05-08,
Siedlce,11.0,36.5,1017.6,2025-05-08,
Słubice,13.6,37.5,1019.5,2025-05-08,
Sulejów,9.9,38.7,1017.8,2025-05-08,
Suwałki,6.8,39.6,1019.3,2025-05-08,
Szczecin,13.6,39.4,1020.1,2025-05-08,
Szczecinek,11.9,33.1,1020.2,2025-05-08,
Śnieżka,-2.8,77.9,,2025-05-08,
Świnoujście,13.4,41.5,1020.4,2025-05-08,
Tarnów,11.4,35.5,1016.1,2025-05-08,
Terespol,9.8,36.7,1017.2,2025-05-08,
Toruń,10.6,39.5,1020.1,2025-05-08,
Ustka,8.8,62.5,1021.3,2025-05-08,
Warszawa,10.5,38.6,1018.1,2025-05-08,
Wieluń,9.9,37.6,1018.2,2025-05-08,
Włodawa,10.7,39.5,1016.9,2025-05-08,
Wrocław,12.4,33.7,1018.3,2025-05-08,
Zakopane,7.7,46.7,,2025-05-08,
Zamość,10.6,39.5,1016.8,2025-05-08,
Zielona Góra,11.2,41.5,1019.2,2025-05-08,
Białystok,9.1,39.7,1018.8,2025-05-09,
Bielsko Biała,11.5,35.5,1020.5,2025-05-09,
Chojnice,13.0,47.4,1019.3,2025-05-09,
Częstochowa,12.1,33.6,1019.9,2025-05-09,
Elbląg,7.3,76.6,1019.1,2025-05-09,
Gdańsk,10.4,59.8,1018.8,2025-05-09,
Gorzów,16.4,34.5,1020.3,2025-05-09,
Hel,8.2,85.9,1018.8,2025-05-09,
Jelenia Góra,13.6,32.6,1020.6,2025-05-09,
Kalisz,14.5,42.7,1020.0,2025-05-09,
Kasprowy Wierch,-2.4,86.0,,2025-05-09,
Katowice,12.4,31.5,1020.2,2025-05-09,
Kętrzyn,8.5,55.6,1019.2,2025-05-09,
Kielce,10.1,40.5,1020.1,2025-05-09,
Kłodzko,11.6,37.5,1021.1,2025-05-09,
Koło,13.6,36.9,1019.4,2025-05-09,
Kołobrzeg,12.8,65.6,1019.9,2025-05-09,
Koszalin,12.9,56.7,1019.9,2025-05-09,
Kozienice,11.6,36.6,1019.4,2025-05-09,
Kraków,12.3,34.7,1020.4,2025-05-09,
Krosno,9.6,32.7,1020.2,2025-05-09,
Legnica,15.1,33.5,1020.7,2025-05-09,
Lesko,9.4,38.6,1019.8,2025-05-09,
Leszno,15.7,36.4,1020.2,2025-05-09,
Lębork,10.4,80.9,1019.0,2025-05-09,
Lublin,9.8,45.6,1019.4,2025-05-09,
Łeba,9.9,86.0,1019.0,2025-05-09,
Łódź,12.6,39.5,1019.8,2025-05-09,
Mikołajki,8.3,52.8,1019.3,2025-05-09,
Mława,10.1,49.5,1019.7,2025-05-09,
Nowy Sącz,10.9,31.6,1020.4,2025-05-09,
Olsztyn,7.8,69.9,1019.8,2025-05-09,
Opole,13.6,32.6,1020.4,2025-05-09,
Ostrołęka,9.6,43.9,1019.5,2025-05-09,
Piła,16.5,33.6,1019.1,2025-05-09,
Platforma,,,,2025-05-09,
Płock,11.7,45.4,1019.5,2025-05-09,
Poznań,16.9,30.4,1019.5,2025-05-09,
Przemyśl,9.9,35.6,1019.8,2025-05-09,
Racibórz,13.3,29.7,1020.4,2025-05-09,
Resko,15.7,41.5,1019.8,2025-05-09,
Rzeszów,10.5,33.7,1019.9,2025-05-09,
Sandomierz,10.7,39.5,1019.7,2025-05-09,
Siedlce,9.5,46.5,1019.2,2025-05-09,
Słubice,17.2,30.5,1020.7,2025-05-09,
Sulejów,11.6,40.7,1019.7,2025-05-09,
Suwałki,9.4,35.8,1018.2,2025-05-09,
Szczecin,17.0,38.4,1020.1,2025-05-09,
Szczecinek,13.9,47.3,1019.4,2025-05-09,
Śnieżka,0.1,63.8,,2025-05-09,
Świnoujście,15.5,60.5,1019.9,2025-05-09,
Tarnów,11.4,34.7,1020.2,2025-05-09,
Terespol,9.7,40.7,1018.9,2025-05-09,
Toruń,14.8,37.5,1018.6,2025-05-09,
Ustka,11.2,74.6,1018.9,2025-05-09,
Warszawa,11.0,41.7,1019.6,2025-05-09,
Wieluń,12.9,38.7,1020.1,2025-05-09,
Włodawa,9.3,41.6,1019.2,2025-05-09,
Wrocław,15.7,29.4,1020.4,2025-05-09,
Zakopane,7.1,42.5,,2025-05-09,
Zamość,9.2,41.5,1020.0,2025-05-09,
Zielona Góra,16.2,29.6,1020.0,2025-05-09,
Białystok,7.9,65.5,1017.9,2025-05-10,
Bielsko Biała,12.6,52.7,1018.4,2025-05-10,
Chojnice,11.6,41.6,1020.4,2025-05-10,
Częstochowa,10.4,89.7,1018.4,2025-05-10,
Elbląg,8.2,58.9,1020.9,2025-05-10,
Gdańsk,8.8,68.6,1021.7,2025-05-10,
Gorzów,15.5,57.6,1019.7,2025-05-10,
Hel,8.6,72.6,1021.9,2025-05-10,
Jelenia Góra,14.6,51.3,1018.9,2025-05-10,
Kalisz,12.1,71.7,1018.9,2025-05-10,
Kasprowy Wierch,-1.6,100.0,,2025-05-10,
Katowice,11.0,75.6,1018.9,2025-05-10,
Kętrzyn,11.1,52.7,1019.3,2025-05-10,
Kielce,12.2,63.7,1017.1,2025-05-10,
Kłodzko,14.6,45.5,1018.7,2025-05-10,
Koło,10.6,56.1,1019.4,2025-05-10,
Kołobrzeg,9.8,72.8,1022.3,2025-05-10,
Koszalin,10.8,66.6,1021.4,2025-05-10,
Kozienice,8.6,75.7,1018.3,2025-05-10,
Kraków,12.0,68.7,1018.4,2025-05-10,
Krosno,10.9,64.8,1016.9,2025-05-10,
Legnica,15.9,60.6,1019.4,2025-05-10,
Lesko,8.0,80.6,1017.7,2025-05-10,
Leszno,11.8,88.6,1019.5,2025-05-10,
Lębork,10.9,47.6,1021.6,2025-05-10,
Lublin,6.8,85.1,1018.0,2025-05-10,
Łeba,8.6,68.6,1022.6,2025-05-10,
Łódź,12.9,47.4,1018.0,2025-05-10,
Mikołajki,9.7,54.7,1019.2,2025-05-10,
Mława,8.6,60.7,1019.6,2025-05-10,
Nowy Sącz,12.7,53.5,1017.6,2025-05-10,
Olsztyn,9.0,55.7,1020.0,2025-05-10,
Opole,12.8,68.4,1018.8,2025-05-10,
Ostrołęka,9.3,59.1,1019.0,2025-05-10,
Piła,14.2,52.4,1019.4,2025-05-10,
Platforma,,,,2025-05-10,
Płock,8.3,65.6,1019.6,2025-05-10,
Poznań,14.9,57.5,1019.0,2025-05-10,
Przemyśl,10.2,79.2,1016.2,2025-05-10,
Racibórz,14.7,50.7,1018.0,2025-05-10,
Resko,13.2,59.2,1020.7,2025-05-10,
Rzeszów,9.0,87.1,1017.1,2025-05-10,
Sandomierz,8.9,83.0,1017.2,2025-05-10,
Siedlce,8.5,59.8,1018.2,2025-05-10,
Słubice,16.6,60.3,1019.7,2025-05-10,
Sulejów,11.1,64.8,1017.9,2025-05-10,
Suwałki,10.1,45.7,1018.3,2025-05-10,
Szczecin,15.3,60.5,1020.7,2025-05-10,
Szczecinek,13.4,45.9,1020.3,2025-05-10,
Śnieżka,2.1,89.1,,2025-05-10,
Świnoujście,10.2,76.0,1022.6,2025-05-10,
Tarnów,12.2,67.8,1016.9,2025-05-10,
Terespol,10.1,56.8,1016.8,2025-05-10,
Toruń,10.5,50.7,1020.2,2025-05-10,
Ustka,8.6,70.5,1022.3,2025-05-10,
Warszawa,8.7,66.7,1018.9,2025-05-10,
Wieluń,11.3,91.0,1018.5,2025-05-10,
Włodawa,8.5,68.5,1016.9,2025-05-10,
Wrocław,15.1,61.7,1018.6,2025-05-10,
Zakopane,7.3,73.9,,2025-05-10,
Zamość,7.2,88.8,1017.4,2025-05-10,
Zielona Góra,14.4,71.6,1019.2,2025-05-10,
Białystok,11.2,46.6,1018.8,2025-05-11,
Bielsko Biała,11.2,42.7,1018.8,2025-05-11,
Chojnice,11.4,39.7,1021.0,2025-05-11,
Częstochowa,11.9,31.6,1019.0,2025-05-11,
Elbląg,8.2,64.7,1021.4,2025-05-11,
Gdańsk,9.2,60.8,1022.0,2025-05-11,
Gorzów,14.5,28.7,1020.1,2025-05-11,
Hel,9.9,58.8,1022.3,2025-05-11,
Jelenia Góra,13.1,46.4,1019.1,2025-05-11,
Kalisz,12.1,46.5,1019.8,2025-05-11,
Kasprowy Wierch,-3.3,100.0,,2025-05-11,
Katowice,11.8,38.7,1018.9,2025-05-11,
Kętrzyn,12.0,40.5,1019.8,2025-05-11,
Kielce,11.7,41.6,1018.8,2025-05-11,
Kłodzko,11.7,47.4,1019.3,2025-05-11,
Koło,12.0,37.3,1020.0,2025-05-11,
Kołobrzeg,10.0,61.4,1022.4,2025-05-11,
Koszalin,11.3,44.7,1021.6,2025-05-11,
Kozienice,11.1,44.6,1019.2,2025-05-11,
Kraków,12.6,41.5,1018.9,2025-05-11,
Krosno,10.8,46.5,1018.1,2025-05-11,
Legnica,13.7,42.4,1020.1,2025-05-11,
Lesko,10.4,53.7,1017.9,2025-05-11,
Leszno,11.9,50.7,1020.3,2025-05-11,
Lębork,11.4,39.7,1021.8,2025-05-11,
Lublin,10.2,48.4,1018.7,2025-05-11,
Łeba,9.0,60.8,1022.8,2025-05-11,
Łódź,12.1,36.5,1019.5,2025-05-11,
Mikołajki,11.8,38.7,1019.7,2025-05-11,
Mława,11.1,48.7,1020.1,2025-05-11,
Nowy Sącz,11.2,51.6,1018.8,2025-05-11,
Olsztyn,10.8,51.5,1020.4,2025-05-11,
Opole,14.3,35.5,1019.0,2025-05-11,
Ostrołęka,11.5,45.0,1019.7,2025-05-11,
Piła,13.7,31.6,1020.4,2025-05-11,
Platforma,,,,2025-05-11,
Płock,11.2,44.6,1020.0,2025-05-11,
Poznań,12.3,34.7,1020.2,2025-05-11,
Przemyśl,10.5,52.2,1018.0,2025-05-11,
Racibórz,12.8,38.6,1018.9,2025-05-11,
Resko,13.6,36.1,1020.7,2025-05-11,
Rzeszów,11.7,50.6,1018.5,2025-05-11,
Sandomierz,12.7,36.7,1018.3,2025-05-11,
Siedlce,11.6,48.5,1018.9,2025-05-11,
Słubice,15.5,37.4,1019.6,2025-05-11,
Sulejów,12.3,40.5,1019.0,2025-05-11,
Suwałki,11.1,36.5,1019.2,2025-05-11,
Szczecin,14.5,35.6,1020.7,2025-05-11,
Szczecinek,14.1,30.6,1020.6,2025-05-11,
Śnieżka,0.6,76.6,,2025-05-11,
Świnoujście,11.4,52.4,1022.1,2025-05-11,
Tarnów,12.1,50.7,1018.5,2025-05-11,
Terespol,12.6,47.7,1018.1,2025-05-11,
Toruń,11.9,37.6,1020.4,2025-05-11,
Ustka,8.7,62.5,1022.5,2025-05-11,
Warszawa,12.8,40.7,1019.3,2025-05-11,
Wieluń,12.4,37.7,1019.4,2025-05-11,
Włodawa,11.7,42.5,1017.8,2025-05-11,
Wrocław,13.7,39.5,1019.6,2025-05-11,
Zakopane,7.7,46.7,,2025-05-11,
Zamość,10.9,49.7,1018.4,2025-05-11,
Zielona Góra,12.7,44.7,1019.8,2025-05-11,
Białystok,13.4,34.5,1017.4,2025-05-12,
Bielsko Biała,12.6,41.5,1017.5,2025-05-12,
Chojnice,13.5,35.6,1020.6,2025-05-12,
Częstochowa,12.9,33.6,1018.2,2025-05-12,
Elbląg,10.1,53.6,1021.1,2025-05-12,
Gdańsk,9.7,73.8,1021.9,2025-05-12,
Gorzów,14.6,32.6,1019.7,2025-05-12,
Hel,11.1,60.8,1022.1,2025-05-12,
Jelenia Góra,12.9,38.7,1018.3,2025-05-12,
Kalisz,13.2,47.5,1019.4,2025-05-12,
Kasprowy Wierch,-3.3,97.0,,2025-05-12,
Katowice,12.6,39.5,1018.1,2025-05-12,
Kętrzyn,14.0,37.6,1019.1,2025-05-12,
Kielce,12.9,36.5,1018.2,2025-05-12,
Kłodzko,12.3,37.7,1018.1,2025-05-12,
Koło,12.9,35.1,1019.7,2025-05-12,
Kołobrzeg,11.1,65.7,1021.5,2025-05-12,
Koszalin,11.4,54.7,1021.4,2025-05-12,
Kozienice,13.5,33.5,1018.4,2025-05-12,
Kraków,13.2,42.6,1018.0,2025-05-12,
Krosno,10.7,48.6,1017.5,2025-05-12,
Legnica,14.0,35.4,1018.8,2025-05-12,
Lesko,9.0,65.8,1017.9,2025-05-12,
Leszno,13.0,46.4,1019.6,2025-05-12,
Lębork,12.4,43.7,1021.1,2025-05-12,
Lublin,11.3,39.7,1018.0,2025-05-12,
Łeba,10.2,59.8,1022.1,2025-05-12,
Łódź,14.0,30.5,1019.1,2025-05-12,
Mikołajki,13.6,38.6,1019.1,2025-05-12,
Mława,12.8,38.6,1019.6,2025-05-12,
Nowy Sącz,12.4,50.4,1017.6,2025-05-12,
Olsztyn,12.4,40.6,1020.1,2025-05-12,
Opole,14.6,30.5,1018.1,2025-05-12,
Ostrołęka,13.2,34.2,1019.1,2025-05-12,
Piła,13.2,37.6,1020.4,2025-05-12,
Platforma,,,,2025-05-12,
Płock,12.8,37.5,1019.7,2025-05-12,
Poznań,13.1,35.5,1020.0,2025-05-12,
Przemyśl,11.6,45.4,1016.9,2025-05-12,
Racibórz,14.9,33.6,1017.4,2025-05-12,
Resko,14.2,40.8,1020.1,2025-05-12,
Rzeszów,12.0,47.5,1017.7,2025-05-12,
Sandomierz,12.2,41.4,1017.8,2025-05-12,
Siedlce,13.4,40.6,1018.4,2025-05-12,
Słubice,17.0,27.5,1018.9,2025-05-12,
Sulejów,14.0,33.6,1018.6,2025-05-12,
Suwałki,13.9,40.4,1017.8,2025-05-12,
Szczecin,14.9,38.7,1019.9,2025-05-12,
Szczecinek,14.6,36.4,1020.5,2025-05-12,
Śnieżka,0.7,69.5,,2025-05-12,
Świnoujście,11.5,66.7,1021.4,2025-05-12,
Tarnów,11.6,49.5,1017.8,2025-05-12,
Terespol,13.8,35.6,1017.3,2025-05-12,
Toruń,14.3,32.5,1020.1,2025-05-12,
Ustka,9.8,61.8,1021.8,2025-05-12,
Warszawa,12.9,36.5,1019.0,2025-05-12,
Wieluń,13.1,37.6,1018.8,2025-05-12,
Włodawa,12.6,38.6,1017.3,2025-05-12,
Wrocław,15.7,30.5,1018.6,2025-05-12,
Zakopane,7.9,48.5,,2025-05-12,
Zamość,12.2,41.4,1017.4,2025-05-12,
Zielona Góra,14.7,33.6,1019.0,2025-05-12,
Białystok,14.4,40.5,1016.1,2025-05-13,
Bielsko Biała,12.7,33.5,1019.8,2025-05-13,
Chojnice,17.0,43.3,1018.5,2025-05-13,
Częstochowa,14.8,29.6,1019.2,2025-05-13,
Elbląg,13.4,54.4,1017.8,2025-05-13,
Gdańsk,15.8,41.5,1017.8,2025-05-13,
Gorzów,18.0,31.4,1020.3,2025-05-13,
Hel,13.8,47.6,1018.1,2025-05-13,
Jelenia Góra,15.9,33.4,1019.7,2025-05-13,
Kalisz,16.4,37.4,1019.3,2025-05-13,
